EQUIPE,DATA,RESPONSÁVEL
Equipe Júlio,01/02/2025,16
Equipe Júlio,01/03/2025,2
Equipe Júlio,01/10/2025,1
Equipe Leandro e Adriano,01/02/2025,44
Equipe Leandro e Adriano,01/03/2025,58
Equipe Leandro e Adriano,01/06/2025,86
Equipe Leandro e Adriano,01/07/2025,212
Equipe Leandro e Adriano,01/08/2025,189
Equipe Leandro e Adriano,01/09/2025,53
Equipe Leandro e Adriano,01/10/2025,132
Equipe Leandro e Adriano,01/11/2025,1
Outros,01/02/2025,3
Outros,01/03/2025,6
Outros,01/07/2025,1
Outros,01/08/2025,2
Outros,01/10/2025,1
Sem Responsável,01/02/2025,0
Sem Responsável,01/07/2025,0
